5,0.001010991
4,0.001327135
5,0.001592414
2,0.003125154
2,0.022058025
4,0.020603908
10,0.02449782
11,0.022068096
5,0.021285213
4,0.048625114
2,0.049978217
1,0.03718572
3,0.024502066
4,0.044304067
5,0.047755189
8,0.049776841
9,0.015418398
7,0.031259965
1,0.025808817
4,0.038117513
5,0.041942637
1,0.017174462
5,0.017975654
2,0.022303261
3,0.020950989
4,0.023406481
8,0.030523074
4,0.027818921
2,0.006535529
1,0.021175965
2,0.048274502
1,0.031449304
8,0.041030636
9,0.039530333
7,0.046009459
4,0.072742056
5,0.078794455
6,0.076801697
1,0.088830108
4,0.044975548
1,0.074121671
1,0.109284223
9,0.117768228
4,0.106085444
1,0.099204334
5,0.046671378
4,0.024999849
1,0.040678109
6,0.069756469
3,0.059759767
