"Data Source","World Development Indicators",

"Last Updated Date","2021-07-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Africa Eastern and Southern","AFE","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","0","0","0","0","0.00119815299912517","0.0570082316010484","0.0976062410043809","0.085635158411808","0.159806292857261","0.882048155259321","0.381684803994113","0.163633879047028","0.416919310242895","0.79378194756475","0.985342099481155","0.353844952018212","0.827376349514995","0.738221335910092","1.24965421883608","1.57086140462593","0.0512826952909323","0.0629585050273353","0.068224419493287","0.627399108117166","0.967339014913051","1.44377698954547","1.19432009041555","0.471959305415898","1.13156031958533","2.51909961932113","1.88629013515071","2.21902398153716","1.74559189005946","3.23812262783484","4.80487019964752","5.63835804420589","6.5260343900665","10.766953894328","4.76867755437037","6.29278578276301","7.49096799240483","5.45490894199706","5.22603885331858","4.18556314287696","1.55578676650688","1.33334420370437","2.19795258980688","2.92933292808059","2.50478432662311","",
"Afghanistan","AFG","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","0.0177889919988865","0.0294247030075833","0.0331009512386763","0.0554377144704201","0.18246430638044","0.392505226807326","0.569600771757156","0.654265038661154","0.612869673296686","1.27169217143433","1.41742464792145","1.36862265474656","","","","","","","","","","","","","","","","","","","","","0.029101080046802","0.0266858315480046","0.025399068790409","0.0259732745155127","0.0221440890371755","0.0146957032171999","0.0161380341741951","0.00545778248651692","0.00496405675816999","0.00661616208441344","0.109759658709867","0.0040171082591659","0.00316611766583391","0.00107637752933451","0.000872220253764918","0.00129589711544822","0.00193851377624702","0.00162776252475565","",
"Africa Western and Central","AFW","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","0.234815911443516","0","1.15360385963359","19.4958867171977","14.143871549004","13.3196391933544","15.3842526718249","12.7021716059947","30.2547523224383","16.1641178268762","3.07400213176163","1.44629700973865","3.85213203445684","7.81053857410264","8.34724151508811","2.96655734525499","6.25751921215031","4.97363048754866","11.379619496254","13.086197310179","7.6226853098962","9.09211934794887","10.2434347982067","8.72253516779337","8.48364759803339","10.4636648736994","8.93638027957755","3.37580965780725","6.55001828132987","14.1655574288816","8.75631967681114","6.73086907304772","6.91029200343256","11.184568196883","14.7980949687243","14.9371092403954","13.2527356787712","15.4992060215844","8.16047337332052","11.4994430548027","14.8427711391768","12.9813745711683","9.87271746280617","7.9276348026921","2.88802686477017","2.5409183053676","5.15189796824281","7.41783983718339","6.49642245779091","",
"Angola","AGO","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","19.0182819487054","9.41612050044339","3.76379877792185","9.81007749484725","15.8714986029741","14.4720940926206","6.41819857999691","16.3908627166153","14.8930926715001","22.422517537677","27.9434100340145","16.2798367322166","26.638006637005","31.7305965397004","36.5088515111217","39.351134895651","43.8146654554435","37.3205084628116","16.0903455499391","37.8374168701426","53.8732943871386","36.8414633493145","26.5866181268741","22.7750024381155","39.3950881210443","45.2505707118365","43.0168345572633","45.7826163716811","55.3834193577111","30.1823977084447","39.6755042552823","40.7071973218961","35.7956865122769","30.3898835415826","23.2704465838273","10.3447772067733","10.2897907086532","15.8255471014195","26.2315110976871","25.0903030417286","",
"Albania","ALB","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","13.1022707410627","13.1350368534285","4.86064548160219","7.98968304790724","4.92463189792542","7.71798212335065","7.55276960231829","4.10811311763452","4.29220184936419","2.34122357908128","1.32497899423878","1.05617341296277","1.05331511516606","1.13513624534112","0.17592098952006","0.441779764685246","0.945520258379203","0.650141974404092","0.664610136036389","0.644512639910059","0.68298105743337","0.926516998854583","1.11613085761613","0.83942817638714","0.916225275620563","0.459639844900993","1.35748215176147","2.73816308738722","3.00847566138625","2.64966720733238","2.77663351256861","1.33705853816038","1.15637306235545","1.1397818150594","1.54518807530349","1.35354642713977","",
"Andorra","AND","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","12.7250795397266","14.3847365362329","16.6926852259048","21.6479258568567","48.1271014679144","38.8373088213776","39.2460568030033","37.6648195701134","33.9271414149822","57.6327931955366","51.4522082274496","38.2392757287312","24.669921066171","24.1860248041663","23.7120057033663","20.9111979746443","13.4971936351492","17.8876741485939","16.5877028467535","23.7411603049269","24.279975015255","20.2741409012954","21.0464412910825","20.3546559669912","18.3305769307828","18.8082428564379","21.516368294313","18.4954650235086","12.0859902678191","16.0083042390054","25.272618902759","20.216698332448","19.7351517152478","22.6423584624313","28.2114400923582","35.0856367492558","35.1413201377103","31.8805910741405","36.2238842020308","22.8193612925505","27.6768737361428","33.998964549725","32.9481470542762","29.9487583565167","26.4705792086054","15.3632399593467","12.9313424588196","16.8083989707871","21.4115486404037","19.2238661700057","",
"United Arab Emirates","ARE","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","","","","","","41.6311050428947","40.7195007354461","34.9762260572309","34.0728435220725","60.0119726590417","46.492931965686","31.3300161871033","22.4001141671975","22.9235111295027","22.971454511295","23.7726287698924","15.8731975825641","23.72368266751","20.0157071005977","29.1854987799931","36.2423424648504","24.4117397140974","23.1054209036084","20.2697828317994","17.5975036932123","17.4982546925209","19.9177847168247","17.0521520752133","11.2289871893927","14.1711198419606","21.1187657848728","16.2261400815013","14.6729720501741","17.0974463525273","20.1015800340901","24.8595723646838","25.0625278455496","22.8760128811461","27.3483402867312","18.0194845290956","21.7218613808152","28.8192955181761","28.5295456107361","25.7775127425648","23.0463710342002","13.1245435576056","10.8244963068703","13.0421131241847","16.5869505660452","16.1975069547045","",
"Argentina","ARG","Oil rents (% of GDP)","NY.GDP.PETR.RT.ZS","","","","","","","","","","","0.268367181657603","0.394582757690264","0.44389730399401","0.468589415623693","1.72699963186166","2.18194896152411","2.44555984380105","2.06442721927339","2.29993902093329","5.10034888972501","5.95674218235372","4.92919623294912","2.86026673528258","3.03412504078441","3.76320136000323","3.12126283610169","1.03811687318526","1.63231807728055","1.12225281323613","2.80975784491193","2.2234650774898","0.943813343754445","0.964139951377816","0.963019136199979","0.885737102142948","1.06565514740471","1.41926827078385","1.24842934600908","0.639270077006171","1.12984923926858","1.98869640855447","1.61339964771952","4.70804086056989","4.17733203978432","4.06691283010871","4.84134728148559","4.82776588677362","3.92323603532812","4.14567586092666","2.13102904542995","2.33606865817559","2.68890246166013","2.42558447408521","2.21678648845945","2.0568502789127","0.712016893853712","0.537246824743345","0.723847251357923","1.41509678217918","1.53257384605461","",
